ID Municipio,ID Partido,Siglas,Nombre,Votos,Escaños
02001,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,316,4
02001,4252,P.P.,PARTIDO POPULAR,255,3
02002,4252,P.P.,PARTIDO POPULAR,199,3
02002,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,185,3
02002,1456,C's,CIUDADANOS-PARTIDO DE LA CIUDADANIA,64,1
02003,4252,P.P.,PARTIDO POPULAR,29351,10
02003,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,23944,8
02003,2380,GANEMOS,GANEMOS ALBACETE,13446,5
02003,1456,C's,CIUDADANOS-PARTIDO DE LA CIUDADANIA,11902,4
02003,1938,PARTICIPA,DEMOCRACIA PARTICIPATIVA,2461, 
02003,5163,UPyD,UNIÓN PROGRESO Y DEMOCRACIA,1532, 
02003,5097,UCIN,UNION DE CIUDADANOS INDEPENDIENTES,987, 
02003,4147,P.C.P.E.,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,717, 
02003,3107,IxAb,INICIATIVA POR ALBACETE,704, 
02003,5373,VOX,VOX,574, 
02003,4211,PH,PARTIDO HUMANISTA,400, 
02004,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,324,4
02004,4252,P.P.,PARTIDO POPULAR,232,3
02005,4252,P.P.,PARTIDO POPULAR,255,4
02005,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,165,2
02005,3323,GANEMOS-IU,IZQUIERDA UNIDA-GANEMOS ALBOREA,79,1
02006,4252,P.P.,PARTIDO POPULAR,305,4
02006,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,214,3
02007,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,643,7
02007,4252,P.P.,PARTIDO POPULAR,194,2
02008,4252,P.P.,PARTIDO POPULAR,413,4
02008,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,375,4
02008,3324,GANEMOS-IU,IZQUIERDA UNIDA-GANEMOS ALCARAZ,157,1
02009,4252,P.P.,PARTIDO POPULAR,6067,11
02009,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,4806,8
02009,3452,IU-LV,IZQUIERDA UNIDA - LOS VERDES,1146,2
02009,1945,D.P.A.,DEMOCRACIA POR ALMANSA,645, 
02009,1456,C's,CIUDADANOS-PARTIDO DE LA CIUDADANIA,528, 
02009,0237,A.E.I.A.,AGRUPACION DE ELECTORES INDEPENDIENTES DE ALMANSA,196, 
02009,5163,UPyD,UNIÓN PROGRESO Y DEMOCRACIA,129, 
02010,4252,P.P.,PARTIDO POPULAR,775,6
02010,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,676,5
02011,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,270,4
02011,4252,P.P.,PARTIDO POPULAR,261,3
02011,5097,UCIN,UNION DE CIUDADANOS INDEPENDIENTES,67, 
02012,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,845,6
02012,4252,P.P.,PARTIDO POPULAR,573,4
02012,3335,GANEMOS-IU,IZQUIERDA UNIDA-GANEMOS BALAZOTE,148,1
02014,4252,P.P.,PARTIDO POPULAR,132,3
02014,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,96,2
02014,3354,GANEMOS-IU,IZQUIERDA UNIDA-GANEMOS EL BALLESTERO,88,2
02013,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,73,4
02013,4252,P.P.,PARTIDO POPULAR,45,1
02015,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,700,5
02015,4252,P.P.,PARTIDO POPULAR,499,4
02016,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,252,4
02016,4252,P.P.,PARTIDO POPULAR,246,3
02017,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,260,3
02017,4252,P.P.,PARTIDO POPULAR,255,3
02017,1456,C's,CIUDADANOS-PARTIDO DE LA CIUDADANIA,152,1
02018,4252,P.P.,PARTIDO POPULAR,370,5
02018,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,310,4
02019,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,1212,7
02019,4252,P.P.,PARTIDO POPULAR,795,4
02020,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,214,4
02020,4252,P.P.,PARTIDO POPULAR,203,3
02021,4252,P.P.,PARTIDO POPULAR,488,5
02021,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,412,4
02022,0522,AICL,AGRUPACIÓN INDEPENDIENTE DE CASAS DE LAZARO,180,4
02022,4252,P.P.,PARTIDO POPULAR,144,3
02022,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,32, 
02023,4252,P.P.,PARTIDO POPULAR,318,5
02023,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,176,2
02024,4252,P.P.,PARTIDO POPULAR,1033,5
02024,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,1013,4
02024,0114,GANEMOS,AGRUPACION CIUDADANA-GANEMOS CASAS IBAÑEZ,525,2
02025,4252,P.P.,PARTIDO POPULAR,2006,7
02025,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,1681,5
02025,2401,GANEMOS CAUDETE,GANEMOS CAUDETE,847,3
02025,3053,INICIATIVA INDEPENDIENTE,INICIATIVA INDEPENDIENTE,330,1
02025,1456,C's,CIUDADANOS-PARTIDO DE LA CIUDADANIA,291,1
02025,5163,UPyD,UNIÓN PROGRESO Y DEMOCRACIA,158, 
02025,5097,UCIN,UNION DE CIUDADANOS INDEPENDIENTES,135, 
02026,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,365,5
02026,4252,P.P.,PARTIDO POPULAR,240,3
02026,3349,GANEMOS-IU,IZQUIERDA UNIDA-GANEMOS CENIZATE,130,1
02029,4252,P.P.,PARTIDO POPULAR,888,5
02029,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,626,3
02029,3351,GANEMOS-IU,IZQUIERDA UNIDA-GANEMOS CHINCHILLA,345,2
02029,1456,C's,CIUDADANOS-PARTIDO DE LA CIUDADANIA,337,1
02029,5097,UCIN,UNION DE CIUDADANOS INDEPENDIENTES,106, 
02027,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,180,5
02027,4252,P.P.,PARTIDO POPULAR,101,2
02028,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,76,4
02028,4252,P.P.,PARTIDO POPULAR,32,1
02030,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,1220,5
02030,4252,P.P.,PARTIDO POPULAR,839,4
02030,0125,aCes,AGRUPACION DE CIUDADANOS POR ELCHE DE LA SIERRA,432,2
02031,4252,P.P.,PARTIDO POPULAR,256,4
02031,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,201,3
02031,3357,GANEMOS-IU,IZQUIERDA UNIDA-GANEMOS FEREZ,59, 
02032,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,121,4
02032,4252,P.P.,PARTIDO POPULAR,69,2
02032,3359,GANEMOS-IU,IZQUIERDA UNIDA-GANEMOS FUENSANTA,42,1
02033,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,977,7
02033,4252,P.P.,PARTIDO POPULAR,598,4
02034,4252,P.P.,PARTIDO POPULAR,600,5
02034,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,564,4
02035,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,856,6
02035,4252,P.P.,PARTIDO POPULAR,632,5
02036,4252,P.P.,PARTIDO POPULAR,50,4
02036,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,18,1
02037,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,4891,9
02037,4252,P.P.,PARTIDO POPULAR,4441,8
02037,3360,GANEMOS-IU,IZQUIERDA UNIDA-GANEMOS HELLIN,1293,2
02037,1456,C's,CIUDADANOS-PARTIDO DE LA CIUDADANIA,1213,2
02037,5097,UCIN,UNION DE CIUDADANOS INDEPENDIENTES,585, 
02037,4220,P.I.H.,PARTIDO INDEPENDIENTE DE HELLIN,373, 
02038,4252,P.P.,PARTIDO POPULAR,143,5
